id,emotion
0x2c7743,surprise
0x2c1eed,surprise
0x2826ea,surprise
0x356d9a,surprise
0x20fd95,surprise
0x1dff4a,surprise
0x243512,surprise
0x27aa7d,surprise
0x1e983c,surprise
0x1e55ec,surprise
0x38a8ec,surprise
0x263b2f,surprise
0x37d0a6,surprise
0x27bf97,surprise
0x2fa76b,surprise
0x2d270b,surprise
0x2e2d6d,surprise
0x28cc4e,surprise
0x26d7c7,surprise
0x281a5c,surprise
0x1cc83e,surprise
0x1dcb75,surprise
0x22a16a,surprise
0x1e022c,surprise
0x324871,surprise
0x1cd9d5,surprise
0x26b87a,surprise
0x231280,surprise
0x36d3c9,surprise
0x22e051,surprise
0x35e50b,surprise
0x2357df,surprise
0x2c40f3,surprise
0x2cdc7f,surprise
0x328b38,surprise
0x254aff,surprise
0x2cad2e,surprise
0x269c1c,surprise
0x32b448,surprise
0x36e430,surprise
0x1eddb3,surprise
0x2974e9,surprise
0x26d52b,surprise
0x2c6841,surprise
0x213a5f,surprise
0x273f4e,surprise
0x325278,surprise
0x337fb4,surprise
0x38312d,surprise
0x1d835b,surprise
0x3061a2,surprise
0x220141,surprise
0x37231d,surprise
0x233d63,surprise
0x21337b,surprise
0x29ef38,surprise
0x371bda,surprise
0x2c1fdd,surprise
0x263d65,surprise
0x357e56,surprise
0x34fa49,surprise
0x2d0971,surprise
0x1f0614,surprise
0x2aa3e4,surprise
0x2cbf0e,surprise
0x38fccd,surprise
0x3473cd,surprise
0x28f0b5,surprise
0x3821fa,surprise
0x2f92bd,surprise
0x2cb991,surprise
0x2c4ec8,surprise
0x32a08f,surprise
0x2fa317,surprise
0x256107,surprise
0x36f0d5,surprise
0x300cbf,surprise
0x34f223,surprise
0x29564c,surprise
0x1d4a7f,surprise
0x23e1c8,surprise
0x3444c2,surprise
0x24dc60,surprise
0x2592e3,surprise
0x2c10c0,surprise
0x3056fa,surprise
0x3146ab,surprise
0x237b66,surprise
0x1fe718,surprise
0x354d86,surprise
0x381f01,surprise
0x33627f,surprise
0x3100a2,surprise
0x389966,surprise
0x25d3e4,surprise
0x2fbd9e,surprise
0x36d085,surprise
0x2f0989,surprise
0x1feb04,surprise
0x223bf4,surprise
0x1d8e00,surprise
0x1f5e28,surprise
0x31129c,surprise
0x364b74,surprise
0x255d14,surprise
0x20fa7a,surprise
0x2fb406,surprise
0x2dd583,surprise
0x28e4fb,surprise
0x31ab4b,surprise
0x3673fc,surprise
0x1d0b2e,surprise
0x388114,surprise
0x2e4835,surprise
0x36fda3,surprise
0x27b9e3,surprise
0x228cae,surprise
0x3131f5,surprise
0x23a9cc,surprise
0x27f541,surprise
0x28a711,surprise
0x2ece80,surprise
0x2afbf9,surprise
0x376f7a,surprise
0x313704,surprise
0x34760b,surprise
0x238516,surprise
0x24f918,surprise
0x24791e,surprise
0x321a60,surprise
0x294321,surprise
0x20dc2c,surprise
0x320a7e,surprise
0x2f2b11,surprise
0x1e5c7d,surprise
0x356a98,surprise
0x34104f,surprise
0x2a021b,surprise
0x2009f6,surprise
0x2ce1c8,surprise
0x25b0a4,surprise
0x2e3b4f,surprise
0x26ace6,surprise
0x223116,surprise
0x20fd24,surprise
0x211c1b,surprise
0x28d2ab,surprise
0x2b4f97,surprise
0x201572,surprise
0x341bff,surprise
0x32901f,surprise
0x2789ed,surprise
0x353d79,surprise
0x27e901,surprise
0x1fb685,surprise
0x2b8ed2,surprise
0x24be42,surprise
0x2f793e,surprise
0x2916c0,surprise
0x241d53,surprise
0x2c1ed6,surprise
0x305584,surprise
0x281e08,surprise
0x1fd31c,surprise
0x1c8109,surprise
0x2d9771,surprise
0x2c75a7,surprise
0x1ee437,surprise
0x33319b,surprise
0x377ac0,surprise
0x251f82,surprise
0x24ec5d,surprise
0x3371fc,surprise
0x1fc6d3,surprise
0x3656fc,surprise
0x2ffe4e,surprise
0x1dfea4,surprise
0x2ec602,surprise
0x2606d5,surprise
0x205c35,surprise
0x2cdc88,surprise
0x30439e,surprise
0x29d1ba,surprise
0x24f7c3,surprise
0x34b227,surprise
0x23ba8c,surprise
0x32abe0,surprise
0x387af0,surprise
0x2858ad,surprise
0x205117,surprise
0x29ff85,surprise
0x21a52d,surprise
0x2f52f1,surprise
0x225987,surprise
0x301020,surprise
0x237188,surprise
0x202ccf,surprise
0x3869a8,surprise
0x2c66bd,surprise
0x1f1c67,surprise
0x37e32b,surprise
0x3842c2,surprise
0x34af5d,surprise
0x1de052,surprise
0x31b6c0,surprise
0x297c93,surprise
0x2a1883,surprise
0x1f48b9,surprise
0x1f7db5,surprise
0x3207cf,surprise
0x221a46,surprise
0x20098f,surprise
0x2f3b67,surprise
0x32c0aa,surprise
0x309fcf,surprise
0x2272d3,surprise
0x309b9e,surprise
0x23e9aa,surprise
0x30fcb1,surprise
0x34de04,surprise
0x31fc75,surprise
0x3784e0,surprise
0x23807d,surprise
0x319966,surprise
0x2fb7da,surprise
0x3341e1,surprise
0x314d63,surprise
0x2402fb,surprise
