epoch,accuracy,loss,val_accuracy,val_loss
0,0.3747578263282776,1.327562689781189,0.44668588042259216,1.270802617073059
1,0.614171028137207,1.0078030824661255,0.6340057849884033,0.948347270488739
2,0.7879878282546997,0.6022910475730896,0.7002881765365601,0.784574031829834
3,0.8419595956802368,0.4279157817363739,0.7002881765365601,0.7759811282157898
4,0.8826460242271423,0.32845625281333923,0.7089337110519409,0.7742949724197388
5,0.9111541509628296,0.26188352704048157,0.6858789920806885,0.8503294587135315
6,0.9291447401046753,0.2234480381011963,0.7002881765365601,0.8824841976165771
7,0.9421533346176147,0.18061602115631104,0.6772334575653076,0.9492297172546387
8,0.9504566788673401,0.15271525084972382,0.6657060384750366,1.034455418586731
9,0.9609742760658264,0.13231487572193146,0.6858789920806885,1.084211826324463
10,0.9651259183883667,0.11315487325191498,0.6945244669914246,1.1516162157058716
11,0.9681705236434937,0.10687945038080215,0.6887608170509338,1.2235366106033325
12,0.9695543646812439,0.09544885903596878,0.6858789920806885,1.2387102842330933
13,0.972045361995697,0.09213875234127045,0.6743515729904175,1.2530152797698975
14,0.9723221659660339,0.0887439176440239,0.6916426420211792,1.26835298538208
15,0.9745364189147949,0.08422919362783432,0.6887608170509338,1.29842209815979
16,0.9759202599525452,0.0779438391327858,0.6916426420211792,1.3735204935073853
17,0.9745364189147949,0.07451457530260086,0.6772334575653076,1.3855260610580444
18,0.9784113168716431,0.06848720461130142,0.6858789920806885,1.4059154987335205
19,0.9789648652076721,0.06404845416545868,0.6772334575653076,1.452760934829712
20,0.9781345129013062,0.06702519953250885,0.6829971075057983,1.4248075485229492
21,0.9775809645652771,0.06299007683992386,0.6916426420211792,1.4438961744308472
22,0.9792416095733643,0.0585302896797657,0.6887608170509338,1.444039225578308
23,0.9795184135437012,0.059789177030324936,0.680115282535553,1.4683406352996826
24,0.977027416229248,0.06160842999815941,0.6916426420211792,1.489223837852478
